"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_iz_hatchbackdoors_codriver1","Front right door of the Lada Niva 4X4 off-road. Keeps the co-driver safe inside the vehicle.","Front right door of the Lada Niva 4X4 off-road. Keeps the co-driver safe inside the vehicle.","Pravé přední dveře terénního vozu Lada Niva 4X4. Chrání spolujezdce vepředu.","Rechte Vordertür des Lada Niva 4X4-Offroaders. Verhindert, dass der Beifahrer aus dem Wagen fällt.","Передняя правая дверь внедорожника Lada Niva 4X4. Обеспечивает безопасность сменного водителя внутри автомобиля.","Przednie prawe drzwi od terenówki Lada Niva 4X4. Dzięki nim drugi kierowca będzie bezpieczny.","Front right door of the Lada Niva 4X4 off-road. Keeps the co-driver safe inside the vehicle.","La portiera anteriore destra del fuoristrada Lada Niva 4X4. Mantiene il copilota al sicuro all’interno del veicolo.","Puerta derecha delantera del vehículo todoterreno Lada Niva 4X4. Mantiene al copiloto a salvo dentro del vehículo.","Une portière avant droite pour Ada 4x4. Permet de protéger le passager avant.","Lada Niva 4X4 越野車的右前門。保持副駕駛在車內的安全。","Ada 4WD オフロードの右前のドア。助手席の人も安全に乗れる。","Front right door of the Lada Niva 4X4 off-road. Keeps the co-driver safe inside the vehicle.","Lada Niva 4X4 越野车的右前车门。确保车内副驾驶员的安全。",
"str_iz_hatchbackdoors_codriver0","Lada Niva 4X4 Right Door","Lada Niva 4X4 Right Door","Pravé dveře Lada Niva 4X4","Lada Niva 4X4-Tür rechts","Правая дверь Lada Niva 4X4","Prawe drzwi od Ady 4x4","Lada Niva 4X4 Right Door","Portiera destra Lada Niva 4X4","Puerta derecha de Lada Niva 4X4","Portière droite de Lada Niva 4X4","Lada Niva 4X4 右門","Ada 4WD 右のドア","Lada Niva 4X4 Right Door","Lada Niva 4X4 右门",


"str_iz_civiliansedan0","GAZ-24 „Volga“","GAZ-24 „Volga“","GAZ-24 „Volga“","GAZ-24 „Volga“","GAZ-24 „Volga“","GAZ-24 „Volga“","GAZ-24 „Volga“","GAZ-24 „Volga“","GAZ-24 „Volga“","Olga 24","GAZ-24 „Volga“","GAZ-24 „Volga“","GAZ-24 „Volga“","GAZ-24 „Volga“",
"str_iz_civsedanwheel1","A wheel of the GAZ-24 „Volga“ sedan. Tire pattern is designed for high performance on common road surfaces.","A wheel of the GAZ-24 „Volga“ sedan. Tire pattern is designed for high performance on common road surfaces.","Kolo sedanu GAZ-24 „Volga“. Vzorek pneumatiky je navržen k vysokým rychlostem na běžném povrchu vozovky.","Ein Reifen für die GAZ-24 „Volga“-Limousine. Das Reifenprofil ist für gewöhnliche Straßenbeläge optimiert.","Колесо седана GAZ-24 „Volga“. Рисунок протектора обеспечивает высокую маневренность на обычных дорожных покрытиях.","Koło sedana GAZ-24 „Volga“. Wzór bieżnika usprawnia jazdę po normalnych drogach.","A wheel of the GAZ-24 „Volga“ sedan. Tire pattern is designed for high performance on common road surfaces.","Una ruota della berlina GAZ-24 „Volga“. Pneumatico con battistrada concepito per offrire prestazioni elevate sulle strade ordinarie.","Una rueda para la berlina GAZ-24 „Volga“. El patrón de la rueda está diseñado para ofrecer un gran rendimiento en superficies comunes.","Une roue pour berline Olga 24. Le pneu offre de très bonnes performances sur route.","GAZ-24 „Volga“ 四門客車的輪胎。輪胎紋路是專為一般路面所設計，性能優異。","GAZ-24 „Volga“ セダンの車輪。タイヤの模様は通常の道路で高性能を見せるようにデザインされている。","A wheel of the GAZ-24 „Volga“ sedan. Tire pattern is designed for high performance on common road surfaces.","GAZ-24 „Volga“ 轿车的车轮。轮胎花纹设计旨在适应普通道路路面，保持高性能。",
"str_iz_civsedanwheel0","GAZ-24 „Volga“ Wheel","GAZ-24 „Volga“ Wheel","Kolo GAZ-24 „Volga“","GAZ-24 „Volga“-Reifen","Колесо GAZ-24 „Volga“","Koło od Olgi 24","GAZ-24 „Volga“ Wheel","Ruota GAZ-24 „Volga“","Rueda de GAZ-24 „Volga“","Roue de Olga 24","GAZ-24 „Volga“ 輪胎","GAZ-24 „Volga“ 車輪","GAZ-24 „Volga“ Wheel","GAZ-24 „Volga“ 车轮",
"str_iz_civsedantrunk1","Trunk lid of the GAZ-24 „Volga“ sedan. Used for keeping trunk contents closed.","Trunk lid of the GAZ-24 „Volga“ sedan. Used for keeping trunk contents closed.","Dveře od kufru sedanu GAZ-24 „Volga“. Používá se k uzavření nákladu v kufru.","Kofferraumklappe der GAZ-24 „Volga“-Limousine. Schützt den Inhalt des Kofferraums.","Крышка багажника седана GAZ-24 „Volga“. Не дает содержимому багажника выпасть.","Klapa bagażnika od sedana GAZ-24 „Volga“. Dzięki niej zawartość bagażnika pozostaje w bagażniku.","Trunk lid of the GAZ-24 „Volga“ sedan. Used for keeping trunk contents closed.","Il cofano posteriore della berlina GAZ-24 „Volga“. Utilizzato per mantenere al sicuro il contenuto del portabagagli.","Puerta del maletero de la berlina GAZ-24 „Volga“. Se usa para guardar el contenido del maletero.","Un coffre pour berline Olga 24. Permet de fermer le coffre et d'en protéger le contenu.","GAZ-24 „Volga“ 四門客車的車廂蓋。鎖住車廂內的物品。","GAZ-24 „Volga“ セダンのトランクリッド。トランクに入れた物が飛び出さないように使用される。","Trunk lid of the GAZ-24 „Volga“ sedan. Used for keeping trunk contents closed.","GAZ-24 „Volga“ 轿车的后备箱盖。用于关住后备箱装的东西。",
"str_iz_civsedantrunk0","GAZ-24 „Volga“ Trunk Lid","GAZ-24 „Volga“ Trunk Lid","Dveře od kufru GAZ-24 „Volga“","GAZ-24 „Volga“-Kofferraumklappe","Крышка багажника GAZ-24 „Volga“","Klapa bagażnika od Olgi 24","GAZ-24 „Volga“ Trunk Lid","Cofano posteriore GAZ-24 „Volga“","Maletero de GAZ-24 „Volga“","Coffre de Olga 24","GAZ-24 „Volga“ 車廂蓋","GAZ-24 „Volga“ トランクリッド","GAZ-24 „Volga“ Trunk Lid","GAZ-24 „Volga“ 后备箱盖",
"str_iz_civsedanhood1","Hood of the GAZ-24 „Volga“ sedan. Helps protect the engine and other sensitive car parts.","Hood of the GAZ-24 „Volga“ sedan. Helps protect the engine and other sensitive car parts.","Kapota sedanu GAZ-24 „Volga“. Chrání motor a další citlivé součástky auta.","Motorhaube der GAZ-24 „Volga“-Limousine. Schützt den Motor und andere empfindliche Wagenteile.","Капот седана GAZ-24 „Volga“. Помогает защитить двигатель и другие важные детали автомобиля.","Maska od sedana GAZ-24 „Volga“. Chroni silnik i inne delikatne części samochodu.","Hood of the GAZ-24 „Volga“ sedan. Helps protect the engine and other sensitive car parts.","Il cofano della berlina GAZ-24 „Volga“. Aiuta a proteggere il motore e altri componenti delicati dell’automobile.","Capó de la berlina GAZ-24 „Volga“. Ayuda a proteger el motor y otras partes importantes del coche.","Un capot pour berline Olga 24. Protège le moteur et les pièces essentielles du véhicule.","GAZ-24 „Volga“ 四門課車的引擎蓋。保護引擎與其他脆弱零件。","GAZ-24 „Volga“ セダンのボンネット。エンジンやその他の繊細な車のパーツを保護してくれる。","Hood of the GAZ-24 „Volga“ sedan. Helps protect the engine and other sensitive car parts.","GAZ-24 „Volga“ 轿车的引擎盖。可帮助保护发动机和其他敏感的汽车部件。",
"str_iz_civsedanhood0","GAZ-24 „Volga“ Hood","GAZ-24 „Volga“ Hood","Kapota GAZ-24 „Volga“","GAZ-24 „Volga“ Motorhaube","Капот GAZ-24 „Volga“","Maska od Olgi 24","GAZ-24 „Volga“ Hood","Cofano GAZ-24 „Volga“","Capó de GAZ-24 „Volga“","Capot de Olga 24","GAZ-24 „Volga“ 引擎蓋","GAZ-24 „Volga“ ボンネット","GAZ-24 „Volga“ Hood","GAZ-24 „Volga“ 引擎盖",
"str_iz_civsedandoors_driver1","Front left door of the GAZ-24 „Volga“ sedan. Keeps the driver safe inside the vehicle.","Front left door of the GAZ-24 „Volga“ sedan. Keeps the driver safe inside the vehicle.","Levé přední dveře sedanu GAZ-24 „Volga“. Chrání řidiče uvnitř vozu.","Linke Vordertür der GAZ-24 „Volga“-Limousine. Verhindert, dass der Fahrer aus dem Wagen fällt.","Передняя левая дверь седана GAZ-24 „Volga“. Обеспечивает безопасность водителя внутри автомобиля.","Przednie lewe drzwi od sedana GAZ-24 „Volga“. Dzięki nim kierowca będzie bezpieczny.","Front left door of the GAZ-24 „Volga“ sedan. Keeps the driver safe inside the vehicle.","La portiera anteriore sinistra della berlina GAZ-24 „Volga“. Mantiene il pilota al sicuro all’interno del veicolo.","Puerta izquierda delantera de la berlina GAZ-24 „Volga“. Mantiene al conductor a salvo dentro del vehículo.","Une portière avant gauche pour berline Olga 24. Permet de protéger le conducteur.","GAZ-24 „Volga“ 四門客車的左前門。保持駕駛在車內的安全。","GAZ-24 „Volga“ セダンの左前のドア。運転席の人も安全に乗れる。","Front left door of the GAZ-24 „Volga“ sedan. Keeps the driver safe inside the vehicle.","GAZ-24 „Volga“ 轿车左前车门。确保车内驾驶员的安全。",
"str_iz_civsedandoors_driver0","GAZ-24 „Volga“ Front Left Door","GAZ-24 „Volga“ Front Left Door","Levé přední dveře GAZ-24 „Volga“","GAZ-24 „Volga“ Tür vorne links","Передняя левая дверь GAZ-24 „Volga“","Przednie lewe drzwi od Olgi 24","GAZ-24 „Volga“ Front Left Door","Portiera anteriore sinistra GAZ-24 „Volga“","Puerta izquierda delantera de GAZ-24 „Volga“","Portière AVG de Olga 24","GAZ-24 „Volga“ 左前門","GAZ-24 „Volga“ 左前のドア","GAZ-24 „Volga“ Front Left Door","GAZ-24 „Volga“ 左前车门",
"str_iz_civsedandoors_codriver1","Front right door of the GAZ-24 „Volga“ sedan. Keeps the co-driver safe inside the vehicle.","Front right door of the GAZ-24 „Volga“ sedan. Keeps the co-driver safe inside the vehicle.","Pravé přední dveře sedanu GAZ-24 „Volga“. Chrání spolujezdce vepředu.","Rechte Vordertür der GAZ-24 „Volga“-Limousine. Verhindert, dass der Beifahrer aus dem Wagen fällt.","Передняя правая дверь седана GAZ-24 „Volga“. Обеспечивает безопасность сменного водителя внутри автомобиля.","Przednie prawe drzwi od sedana GAZ-24 „Volga“. Dzięki nim drugi kierowca będzie bezpieczny.","Front right door of the GAZ-24 „Volga“ sedan. Keeps the co-driver safe inside the vehicle.","La portiera anteriore destra della berlina GAZ-24 „Volga“. Mantiene il copilota al sicuro all’interno del veicolo.","Puerta derecha delantera de la berlina GAZ-24 „Volga“. Mantiene al copiloto a salvo dentro del vehículo.","Une portière avant droite pour berline Olga 24. Permet de protéger le passager avant.","GAZ-24 „Volga“ 四門客車的右前門。保持副駕駛在車內的安全。","GAZ-24 „Volga“ セダンの右前のドア。助手席の人も安全に乗れる。","Front right door of the GAZ-24 „Volga“ sedan. Keeps the co-driver safe inside the vehicle.","GAZ-24 „Volga“ 轿车右前车门。确保车内副驾驶员的安全。",
"str_iz_civsedandoors_codriver0","GAZ-24 „Volga“ Front Right Door","GAZ-24 „Volga“ Front Right Door","Pravé přední dveře GAZ-24 „Volga“","GAZ-24 „Volga“ Tür vorne rechts","Передняя правая дверь GAZ-24 „Volga“","Przednie prawe drzwi od Olgi 24","GAZ-24 „Volga“ Front Right Door","Portiera anteriore destra GAZ-24 „Volga“","Puerta derecha delantera de GAZ-24 „Volga“","Portière AVD de Olga 24","GAZ-24 „Volga“ 右前門","GAZ-24 „Volga“ 右前のドア","GAZ-24 „Volga“ Front Right Door","GAZ-24 „Volga“ 右前车门",
"str_iz_civsedandoors_backright1","Rear right door of the GAZ-24 „Volga“ sedan. Keeps the passenger in the backseat safe inside the vehicle.","Rear right door of the GAZ-24 „Volga“ sedan. Keeps the passenger in the backseat safe inside the vehicle.","Pravé zadní dveře sedanu GAZ-24 „Volga“. Chrání spolujezdce na zadním sedadle uvnitř vozu.","Rechte Hintertür der GAZ-24 „Volga“-Limousine. Verhindert, dass Passagiere auf der Rückbank aus dem Wagen fallen.","Задняя правая дверь седана GAZ-24 „Volga“. Обеспечивает безопасность пассажиров на заднем сиденье.","Tylne prawe drzwi od sedana GAZ-24 „Volga“. Dzięki nim pasażer z tyłu będzie bezpieczny.","Rear right door of the GAZ-24 „Volga“ sedan. Keeps the passenger in the backseat safe inside the vehicle.","La portiera posteriore destra della berlina GAZ-24 „Volga“. Mantiene il passeggero seduto sul sedile posteriore al sicuro all’interno del veicolo.","Puerta derecha trasera de la berlina GAZ-24 „Volga“. Mantiene a los pasajeros del asiento de atrás a salvo dentro del vehículo.","Une portière arrière droite pour berline Olga 24. Permet de protéger le passager arrière à droite.","GAZ-24 „Volga“ 四門客車的右後門。使後座乘客安全的坐在車內。","GAZ-24 „Volga“ セダンの右後ろのドア。後部席の人も安全に乗れる。","Rear right door of the GAZ-24 „Volga“ sedan. Keeps the passenger in the backseat safe inside the vehicle.","GAZ-24 „Volga“ 轿车右后车门。确保车内后座乘客的安全。",
"str_iz_civsedandoors_backright0","GAZ-24 „Volga“ Rear Right Door","GAZ-24 „Volga“ Rear Right Door","Pravé zadní dveře GAZ-24 „Volga“","GAZ-24 „Volga“ Tür hinten rechts","Задняя правая дверь GAZ-24 „Volga“","Tyle prawe drzwi od Olgi 24","GAZ-24 „Volga“ Rear Right Door","Portiera posteriore destra GAZ-24 „Volga“","Puerta derecha trasera de GAZ-24 „Volga“","Portière ARD de Olga 24","GAZ-24 „Volga“ 右後門","GAZ-24 „Volga“ 右後ろのドア","GAZ-24 „Volga“ Rear Right Door","GAZ-24 „Volga“ 右后车门",
"str_iz_civsedandoors_backleft1","Rear left door of the GAZ-24 „Volga“ sedan. Keeps the passenger in the backseat safe inside the vehicle.","Rear left door of the GAZ-24 „Volga“ sedan. Keeps the passenger in the backseat safe inside the vehicle.","Levé zadní dveře sedanu GAZ-24 „Volga“. Chrání spolujezdce na zadním sedadle uvnitř vozu.","Linke Hintertür der GAZ-24 „Volga“-Limousine. Verhindert, dass Passagiere auf der Rückbank aus dem Wagen fallen.","Задняя левая дверь седана GAZ-24 „Volga“. Обеспечивает безопасность пассажиров на заднем сиденье.","Tylne lewe drzwi od sedana GAZ-24 „Volga“. Dzięki nim pasażer z tyłu będzie bezpieczny.","Rear left door of the GAZ-24 „Volga“ sedan. Keeps the passenger in the backseat safe inside the vehicle.","La portiera posteriore sinistra della berlina GAZ-24 „Volga“. Mantiene il passeggero seduto sul sedile posteriore al sicuro all’interno del veicolo.","Puerta izquierda trasera de la berlina GAZ-24 „Volga“. Mantiene a los pasajeros del asiento de atrás a salvo dentro del vehículo.","Une portière arrière gauche pour berline Olga 24. Permet de protéger le passager arrière à gauche.","GAZ-24 „Volga“ 四門客車的左後門。使後座乘客安全的坐在車內。","GAZ-24 „Volga“ セダンの左後ろのドア。後部席の人も安全に乗れる。","Rear left door of the GAZ-24 „Volga“ sedan. Keeps the passenger in the backseat safe inside the vehicle.","GAZ-24 „Volga“ 轿车左后车门。确保车内后座乘客的安全。",
"str_iz_civsedandoors_backleft0","GAZ-24 „Volga“ Rear Left Door","GAZ-24 „Volga“ Rear Left Door","Levé zadní dveře GAZ-24 „Volga“","GAZ-24 „Volga“ Tür hinten links","Задняя левая дверь GAZ-24 „Volga“","Tyle lewe drzwi od Olgi 24","GAZ-24 „Volga“ Rear Left Door","Portiera posteriore sinistra GAZ-24 „Volga“","Puerta izquierda trasera de GAZ-24 „Volga“","Portière ARG de Olga 24","GAZ-24 „Volga“ 左後門","GAZ-24 „Volga“ 左後ろのドア","GAZ-24 „Volga“ Rear Left Door","GAZ-24 „Volga“ 左后车门",


"str_iz_civhatchback0","VW Golf II","VW Golf II","VW Golf II","VW Golf II","VW Golf II","VW Golf II","VW Golf II","VW Golf II","VW Golf II","Gunter 2","VW Golf II","VW Golf II","VW Golf II","VW Golf II",
"str_iz_civhatchbackwheel1","Wheel of the VW Golf II hatchback. Tire pattern is designed for high performance on normal road surfaces.","Wheel of the VW Golf II hatchback. Tire pattern is designed for high performance on normal road surfaces.","Kolo hatchbacku Gunter 2. Vzorek pneumatiky je navržen k vysokým rychlostem na běžném povrchu vozovky.","Ein Reifen für die VW Golf II-Kombilimousine. Das Reifenprofil ist für gewöhnliche Straßenbeläge optimiert.","Колесо хэтчбека VW Golf II. Рисунок протектора обеспечивает высокую маневренность на нормальных дорожных покрытиях.","Koło hatchbacka VW Golf II. Wzór bieżnika usprawnia jazdę po normalnych drogach.","Wheel of the VW Golf II hatchback. Tire pattern is designed for high performance on normal road surfaces.","Una ruota della due volumi VW Golf II. Pneumatico con battistrada concepito per offrire prestazioni elevate su strade normali.","Rueda para el VW Golf II. El patrón de la rueda está diseñado para ofrecer un gran rendimiento en superficies normales.","Une roue pour berline à hayon Gunter 2. Le pneu offre de très bonnes performances sur route.","VW Golf II 掀背車的輪胎。輪胎紋路是專為一般路面所設計，性能優異。","VW Golf II ハッチバックの車輪。タイヤの模様は普通の道路で高性能を見せるようにデザインされている。","Wheel of the VW Golf II hatchback. Tire pattern is designed for high performance on normal road surfaces.","VW Golf II 掀背车的车轮。轮胎花纹设计可确保在普通道路路面上保持高性能。",
"str_iz_civhatchbackwheel0","VW Golf II Wheel","VW Golf II Wheel","Kolo Gunter 2","VW Golf II-Reifen","Колесо VW Golf II","Koło od Guntera 2","VW Golf II Wheel","Ruota VW Golf II","Rueda de VW Golf II","Roue de Gunter 2","VW Golf II 輪胎","VW Golf II 車輪","VW Golf II Wheel","VW Golf II 车轮",
"str_iz_civhatchbackdoors_codriver1","Front right door of the VW Golf II hatchback. Keeps co-driver safe inside vehicle.","Front right door of the VW Golf II hatchback. Keeps co-driver safe inside vehicle.","Pravé přední dveře hatchbacku Gunter 2. Zajišťují bezpečnost spolujezdce uvnitř auta.","Rechte Vordertür der VW Golf II-Kombilimousine. Verhindert, dass der Beifahrer aus dem Wagen fällt.","Передняя правая дверь хэтчбека VW Golf II. Обеспечивает безопасность сменного водителя внутри автомобиля.","Przednie prawe drzwi od hatchbacka VW Golf II. Dzięki nim drugi kierowca będzie bezpieczny.","Front right door of the VW Golf II hatchback. Keeps co-driver safe inside vehicle.","La portiera anteriore destra della due volumi VW Golf II. Mantiene il co-pilota al sicuro all’interno del veicolo.","Puerta derecha delantera del VW Golf II. Mantiene al copiloto a salvo dentro del vehículo.","Une portière avant droite pour la berline à hayon Gunter 2. Permet de protéger le passager avant.","VW Golf II 掀背車的右前門。保持副駕駛在車內的安全。","VW Golf II ハッチバックの右前のドア。助手席の人も安全に乗れる。","Front right door of the VW Golf II hatchback. Keeps co-driver safe inside vehicle.","VW Golf II 掀背车的右前车门。可确保车内副驾驶员的安全。",
"str_iz_civhatchbackdoors_codriver0","VW Golf II Front Right Door","VW Golf II Front Right Door","Pravé přední dveře VW Golf II","VW Golf II Tür vorne rechts","Передняя правая дверь VW Golf II","Przednie prawe drzwi od Guntera 2","VW Golf II Front Right Door","Portiera anteriore destra VW Golf II","Puerta derecha delantera de VW Golf II","Portière AVD de Gunter 2","VW Golf II 右前門","VW Golf II 右前のドア","VW Golf II Front Right Door","VW Golf II 右前车门",
"str_iz_civhatchbackdoors_driver1","Front left door of the VW Golf II hatchback. Keeps driver safe inside vehicle.","Front left door of the VW Golf II hatchback. Keeps driver safe inside vehicle.","Levé přední dveře hatchbacku Gunter 2. Zajišťují bezpečnost řidiče uvnitř auta.","Linke Vordertür der VW Golf II-Kombilimousine. Verhindert, dass der Fahrer aus dem Wagen fällt.","Передняя левая дверь хэтчбека VW Golf II. Обеспечивает безопасность водителя внутри автомобиля.","Przednie lewe drzwi od hatchbacka VW Golf II. Dzięki nim kierowca będzie bezpieczny.","Front left door of the VW Golf II hatchback. Keeps driver safe inside vehicle.","La portiera anteriore sinistra della due volumi VW Golf II. Mantiene il pilota al sicuro all’interno del veicolo.","Puerta izquierda delantera del VW Golf II. Mantiene al piloto a salvo dentro del vehículo.","Une portière avant gauche pour la berline à hayon Gunter 2. Permet de protéger le conducteur.","VW Golf II 掀背車的左前門。保持駕駛在車內的安全。","VW Golf II ハッチバックの左前のドア。運転席の人も安全に乗れる。","Front left door of the VW Golf II hatchback. Keeps driver safe inside vehicle.","VW Golf II 掀背车的左前车门。可确保车内驾驶员的安全。",
