"Language",										"original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_civsedanhood1",							"Hood of the Olga 24 sedan. Helps protect the engine and other sensitive car parts.","Hood of the Olga 24 sedan. Helps protect the engine and other sensitive car parts.","Kapota sedanu Olga 24. Chrání motor a další citlivé součástky auta.","Motorhaube der Olga 24-Limousine. Schützt den Motor und andere empfindliche Wagenteile.","Капот седана Olga 24. Помогает защитить двигатель и другие важные детали автомобиля.","Maska od sedana Olga 24. Chroni silnik i inne delikatne części samochodu.","Hood of the Olga 24 sedan. Helps protect the engine and other sensitive car parts.","Il cofano della berlina Olga 24. Aiuta a proteggere il motore e altri componenti delicati dell’automobile.","Capó de la berlina Olga 24. Ayuda a proteger el motor y otras partes importantes del coche.","Un capot pour berline Olga 24. Protège le moteur et les pièces essentielles du véhicule.","Olga 24 四門課車的引擎蓋。保護引擎與其他脆弱零件。","Olga 24 セダンのボンネット。エンジンやその他の繊細な車のパーツを保護してくれる。","Hood of the Olga 24 sedan. Helps protect the engine and other sensitive car parts.","Olga 24 轿车的引擎盖。可帮助保护发动机和其他敏感的汽车部件。",
"str_civsedanhood0",							"Olga 24 Hood","Olga 24 Hood","Kapota Olga 24","Olga 24 Motorhaube","Капот Olga 24","Maska od Olgi 24","Olga 24 Hood","Cofano Olga 24","Capó de Olga 24","Capot de Olga 24","Olga 24 引擎蓋","Olga 24 ボンネット","Olga 24 Hood","Olga 24 引擎盖",
"str_civsedandoors_driver1",					"Front left door of the Olga 24 sedan. Keeps the driver safe inside the vehicle.","Front left door of the Olga 24 sedan. Keeps the driver safe inside the vehicle.","Levé přední dveře sedanu Olga 24. Chrání řidiče uvnitř vozu.","Linke Vordertür der Olga 24-Limousine. Verhindert, dass der Fahrer aus dem Wagen fällt.","Передняя левая дверь седана Olga 24. Обеспечивает безопасность водителя внутри автомобиля.","Przednie lewe drzwi od sedana Olga 24. Dzięki nim kierowca będzie bezpieczny.","Front left door of the Olga 24 sedan. Keeps the driver safe inside the vehicle.","La portiera anteriore sinistra della berlina Olga 24. Mantiene il pilota al sicuro all’interno del veicolo.","Puerta izquierda delantera de la berlina Olga 24. Mantiene al conductor a salvo dentro del vehículo.","Une portière avant gauche pour berline Olga 24. Permet de protéger le conducteur.","Olga 24 四門客車的左前門。保持駕駛在車內的安全。","Olga 24 セダンの左前のドア。運転席の人も安全に乗れる。","Front left door of the Olga 24 sedan. Keeps the driver safe inside the vehicle.","Olga 24 轿车左前车门。确保车内驾驶员的安全。",
"str_civsedandoors_driver0",					"Olga 24 Front Left Door","Olga 24 Front Left Door","Levé přední dveře Olga 24","Olga 24 Tür vorne links","Передняя левая дверь Olga 24","Przednie lewe drzwi od Olgi 24","Olga 24 Front Left Door","Portiera anteriore sinistra Olga 24","Puerta izquierda delantera de Olga 24","Portière AVG de Olga 24","Olga 24 左前門","Olga 24 左前のドア","Olga 24 Front Left Door","Olga 24 左前车门",
"str_civsedandoors_codriver1",					"Front right door of the Olga 24 sedan. Keeps the co-driver safe inside the vehicle.","Front right door of the Olga 24 sedan. Keeps the co-driver safe inside the vehicle.","Pravé přední dveře sedanu Olga 24. Chrání spolujezdce vepředu.","Rechte Vordertür der Olga 24-Limousine. Verhindert, dass der Beifahrer aus dem Wagen fällt.","Передняя правая дверь седана Olga 24. Обеспечивает безопасность сменного водителя внутри автомобиля.","Przednie prawe drzwi od sedana Olga 24. Dzięki nim drugi kierowca będzie bezpieczny.","Front right door of the Olga 24 sedan. Keeps the co-driver safe inside the vehicle.","La portiera anteriore destra della berlina Olga 24. Mantiene il copilota al sicuro all’interno del veicolo.","Puerta derecha delantera de la berlina Olga 24. Mantiene al copiloto a salvo dentro del vehículo.","Une portière avant droite pour berline Olga 24. Permet de protéger le passager avant.","Olga 24 四門客車的右前門。保持副駕駛在車內的安全。","Olga 24 セダンの右前のドア。助手席の人も安全に乗れる。","Front right door of the Olga 24 sedan. Keeps the co-driver safe inside the vehicle.","Olga 24 轿车右前车门。确保车内副驾驶员的安全。",
"str_civsedandoors_codriver0",					"Olga 24 Front Right Door","Olga 24 Front Right Door","Pravé přední dveře Olga 24","Olga 24 Tür vorne rechts","Передняя правая дверь Olga 24","Przednie prawe drzwi od Olgi 24","Olga 24 Front Right Door","Portiera anteriore destra Olga 24","Puerta derecha delantera de Olga 24","Portière AVD de Olga 24","Olga 24 右前門","Olga 24 右前のドア","Olga 24 Front Right Door","Olga 24 右前车门",
"str_civsedandoors_backright1",					"Rear right door of the Olga 24 sedan. Keeps the passenger in the backseat safe inside the vehicle.","Rear right door of the Olga 24 sedan. Keeps the passenger in the backseat safe inside the vehicle.","Pravé zadní dveře sedanu Olga 24. Chrání spolujezdce na zadním sedadle uvnitř vozu.","Rechte Hintertür der Olga 24-Limousine. Verhindert, dass Passagiere auf der Rückbank aus dem Wagen fallen.","Задняя правая дверь седана Olga 24. Обеспечивает безопасность пассажиров на заднем сиденье.","Tylne prawe drzwi od sedana Olga 24. Dzięki nim pasażer z tyłu będzie bezpieczny.","Rear right door of the Olga 24 sedan. Keeps the passenger in the backseat safe inside the vehicle.","La portiera posteriore destra della berlina Olga 24. Mantiene il passeggero seduto sul sedile posteriore al sicuro all’interno del veicolo.","Puerta derecha trasera de la berlina Olga 24. Mantiene a los pasajeros del asiento de atrás a salvo dentro del vehículo.","Une portière arrière droite pour berline Olga 24. Permet de protéger le passager arrière à droite.","Olga 24 四門客車的右後門。使後座乘客安全的坐在車內。","Olga 24 セダンの右後ろのドア。後部席の人も安全に乗れる。","Rear right door of the Olga 24 sedan. Keeps the passenger in the backseat safe inside the vehicle.","Olga 24 轿车右后车门。确保车内后座乘客的安全。",
"str_civsedandoors_backright0",					"Olga 24 Rear Right Door","Olga 24 Rear Right Door","Pravé zadní dveře Olga 24","Olga 24 Tür hinten rechts","Задняя правая дверь Olga 24","Tyle prawe drzwi od Olgi 24","Olga 24 Rear Right Door","Portiera posteriore destra Olga 24","Puerta derecha trasera de Olga 24","Portière ARD de Olga 24","Olga 24 右後門","Olga 24 右後ろのドア","Olga 24 Rear Right Door","Olga 24 右后车门",
"str_civsedandoors_backleft1",					"Rear left door of the Olga 24 sedan. Keeps the passenger in the backseat safe inside the vehicle.","Rear left door of the Olga 24 sedan. Keeps the passenger in the backseat safe inside the vehicle.","Levé zadní dveře sedanu Olga 24. Chrání spolujezdce na zadním sedadle uvnitř vozu.","Linke Hintertür der Olga 24-Limousine. Verhindert, dass Passagiere auf der Rückbank aus dem Wagen fallen.","Задняя левая дверь седана Olga 24. Обеспечивает безопасность пассажиров на заднем сиденье.","Tylne lewe drzwi od sedana Olga 24. Dzięki nim pasażer z tyłu będzie bezpieczny.","Rear left door of the Olga 24 sedan. Keeps the passenger in the backseat safe inside the vehicle.","La portiera posteriore sinistra della berlina Olga 24. Mantiene il passeggero seduto sul sedile posteriore al sicuro all’interno del veicolo.","Puerta izquierda trasera de la berlina Olga 24. Mantiene a los pasajeros del asiento de atrás a salvo dentro del vehículo.","Une portière arrière gauche pour berline Olga 24. Permet de protéger le passager arrière à gauche.","Olga 24 四門客車的左後門。使後座乘客安全的坐在車內。","Olga 24 セダンの左後ろのドア。後部席の人も安全に乗れる。","Rear left door of the Olga 24 sedan. Keeps the passenger in the backseat safe inside the vehicle.","Olga 24 轿车左后车门。确保车内后座乘客的安全。",
"str_civsedandoors_backleft0",					"Olga 24 Rear Left Door","Olga 24 Rear Left Door","Levé zadní dveře Olga 24","Olga 24 Tür hinten links","Задняя левая дверь Olga 24","Tyle lewe drzwi od Olgi 24","Olga 24 Rear Left Door","Portiera posteriore sinistra Olga 24","Puerta izquierda trasera de Olga 24","Portière ARG de Olga 24","Olga 24 左後門","Olga 24 左後ろのドア","Olga 24 Rear Left Door","Olga 24 左后车门",


"str_civhatchback0",							"Gunter 2","Gunter 2","Gunter 2","Gunter 2","Gunter 2","Gunter 2","Gunter 2","Gunter 2","Gunter 2","Gunter 2","Gunter 2","Gunter 2","Gunter 2","Gunter 2",

"str_civhatchbackwheel1",						"Wheel of the Gunter 2 hatchback. Tire pattern is designed for high performance on normal road surfaces.","Wheel of the Gunter 2 hatchback. Tire pattern is designed for high performance on normal road surfaces.","Kolo hatchbacku Gunter 2. Vzorek pneumatiky je navržen k vysokým rychlostem na běžném povrchu vozovky.","Ein Reifen für die Gunter 2-Kombilimousine. Das Reifenprofil ist für gewöhnliche Straßenbeläge optimiert.","Колесо хэтчбека Gunter 2. Рисунок протектора обеспечивает высокую маневренность на нормальных дорожных покрытиях.","Koło hatchbacka Gunter 2. Wzór bieżnika usprawnia jazdę po normalnych drogach.","Wheel of the Gunter 2 hatchback. Tire pattern is designed for high performance on normal road surfaces.","Una ruota della due volumi Gunter 2. Pneumatico con battistrada concepito per offrire prestazioni elevate su strade normali.","Rueda para el Gunter 2. El patrón de la rueda está diseñado para ofrecer un gran rendimiento en superficies normales.","Une roue pour berline à hayon Gunter 2. Le pneu offre de très bonnes performances sur route.","Gunter 2 掀背車的輪胎。輪胎紋路是專為一般路面所設計，性能優異。","Gunter 2 ハッチバックの車輪。タイヤの模様は普通の道路で高性能を見せるようにデザインされている。","Wheel of the Gunter 2 hatchback. Tire pattern is designed for high performance on normal road surfaces.","Gunter 2 掀背车的车轮。轮胎花纹设计可确保在普通道路路面上保持高性能。",
"str_civhatchbackwheel0",						"Gunter 2 Wheel","Gunter 2 Wheel","Kolo Gunter 2","Gunter 2-Reifen","Колесо Gunter 2","Koło od Guntera 2","Gunter 2 Wheel","Ruota Gunter 2","Rueda de Gunter 2","Roue de Gunter 2","Gunter 2 輪胎","Gunter 2 車輪","Gunter 2 Wheel","Gunter 2 车轮",
"str_civhatchbackdoors_codriver1",				"Front right door of the Gunter 2 hatchback. Keeps co-driver safe inside vehicle.","Front right door of the Gunter 2 hatchback. Keeps co-driver safe inside vehicle.","Pravé přední dveře hatchbacku Gunter 2. Zajišťují bezpečnost spolujezdce uvnitř auta.","Rechte Vordertür der Gunter 2-Kombilimousine. Verhindert, dass der Beifahrer aus dem Wagen fällt.","Передняя правая дверь хэтчбека Gunter 2. Обеспечивает безопасность сменного водителя внутри автомобиля.","Przednie prawe drzwi od hatchbacka Gunter 2. Dzięki nim drugi kierowca będzie bezpieczny.","Front right door of the Gunter 2 hatchback. Keeps co-driver safe inside vehicle.","La portiera anteriore destra della due volumi Gunter 2. Mantiene il co-pilota al sicuro all’interno del veicolo.","Puerta derecha delantera del Gunter 2. Mantiene al copiloto a salvo dentro del vehículo.","Une portière avant droite pour la berline à hayon Gunter 2. Permet de protéger le passager avant.","Gunter 2 掀背車的右前門。保持副駕駛在車內的安全。","Gunter 2 ハッチバックの右前のドア。助手席の人も安全に乗れる。","Front right door of the Gunter 2 hatchback. Keeps co-driver safe inside vehicle.","Gunter 2 掀背车的右前车门。可确保车内副驾驶员的安全。",
"str_civhatchbackdoors_codriver0",				"Gunter 2 Front Right Door","Gunter 2 Front Right Door","Pravé přední dveře Gunter 2","Gunter 2 Tür vorne rechts","Передняя правая дверь Gunter 2","Przednie prawe drzwi od Guntera 2","Gunter 2 Front Right Door","Portiera anteriore destra Gunter 2","Puerta derecha delantera de Gunter 2","Portière AVD de Gunter 2","Gunter 2 右前門","Gunter 2 右前のドア","Gunter 2 Front Right Door","Gunter 2 右前车门",
"str_civhatchbackdoors_driver1",				"Front left door of the Gunter 2 hatchback. Keeps driver safe inside vehicle.","Front left door of the Gunter 2 hatchback. Keeps driver safe inside vehicle.","Levé přední dveře hatchbacku Gunter 2. Zajišťují bezpečnost řidiče uvnitř auta.","Linke Vordertür der Gunter 2-Kombilimousine. Verhindert, dass der Fahrer aus dem Wagen fällt.","Передняя левая дверь хэтчбека Gunter 2. Обеспечивает безопасность водителя внутри автомобиля.","Przednie lewe drzwi od hatchbacka Gunter 2. Dzięki nim kierowca będzie bezpieczny.","Front left door of the Gunter 2 hatchback. Keeps driver safe inside vehicle.","La portiera anteriore sinistra della due volumi Gunter 2. Mantiene il pilota al sicuro all’interno del veicolo.","Puerta izquierda delantera del Gunter 2. Mantiene al piloto a salvo dentro del vehículo.","Une portière avant gauche pour la berline à hayon Gunter 2. Permet de protéger le conducteur.","Gunter 2 掀背車的左前門。保持駕駛在車內的安全。","Gunter 2 ハッチバックの左前のドア。運転席の人も安全に乗れる。","Front left door of the Gunter 2 hatchback. Keeps driver safe inside vehicle.","Gunter 2 掀背车的左前车门。可确保车内驾驶员的安全。",
"str_civhatchbackdoors_driver0",				"Gunter 2 Front Left Door","Gunter 2 Front Left Door","Levé přední dveře Gunter 2","Gunter 2 Tür vorne links","Передняя левая дверь Gunter 2","Przednie lewe drzwi od Guntera 2","Gunter 2 Front Left Door","Portiera anteriore sinistra Gunter 2","Puerta izquierda delantera de Gunter 2","Portière AVG de Gunter 2","Gunter 2 左前門","Gunter 2 左前のドア","Gunter 2 Front Left Door","Gunter 2 左前车门",
"str_civhatchbackdoors_hood1",					"Hood of the Gunter 2 hatchback. Helps protect the engine and other sensitive car parts.","Hood of the Gunter 2 hatchback. Helps protect the engine and other sensitive car parts.","Kapota hatchbacku Gunter 2. Chrání motor a další citlivé součásti auta.","Motorhaube der Gunter 2-Kombilimousine. Schützt den Motor und andere empfindliche Wagenteile.","Капот хэтчбека Gunter 2. Помогает защитить двигатель и другие важные детали автомобиля.","Maska od hatchbacka Gunter 2. Chroni silnik i inne delikatne części samochodu.","Hood of the Gunter 2 hatchback. Helps protect the engine and other sensitive car parts.","Il cofano della due volumi Gunter 2. Aiuta a proteggere il motore e altri componenti delicati dell’automobile.","Capó de Gunter 2. Ayuda a proteger el motor y otras partes importantes del coche.","Un capot pour la berline à hayon Gunter 2. Protège le moteur et les pièces essentielles du véhicule.","Gunter 2 掀背車的引擎蓋。保護引擎與其他脆弱零件。","Gunter 2 ハッチバックのボンネット。エンジンやその他の繊細な車のパーツを保護してくれる。","Hood of the Gunter 2 hatchback. Helps protect the engine and other sensitive car parts.","Gunter 2 掀背车的引擎盖。可帮助保护发动机和其他易损汽车部件。",
"str_civhatchbackdoors_hood0",					"Gunter 2 Hood","Gunter 2 Hood","Kapota Gunter 2","Gunter 2 Motorhaube","Капот Gunter 2","Maska od Guntera 2","Gunter 2 Hood","Cofano Gunter 2","Capó de Gunter 2","Capot de Gunter 2","Gunter 2 引擎蓋","Gunter 2 ボンネット","Gunter 2 Hood","Gunter 2 引擎盖",
